China's input-output table in 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data are calculated at producers' prices in 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit: ten thousand yuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producers               Consumers,,Code,Intermediate use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Annual
output",,,
,,,"Agriculture, forestry, animal husbandry and fishery products and services",Coal mining products,Oil and Gas Extraction Products,Metal ore mining products,Non-metallic ores and other mining products,Food and tobacco,Textile,"Textiles, garments, shoes, hats, leather, down and their products",Woodwork and Furniture,"Paper printing and cultural, educational and sporting goods","Petroleum, coking products and nuclear fuel processed products",Chemical product,Non-metallic mineral products,Metal smelting and rolling products,Made from metal,General Equipment,Professional setting,Transportation equipment,Electrical machinery and equipment,"Communication equipment, computers and other electronic equipment",Instrumentation,Other manufactured products,Srap waste,"Metal Products, Machinery and Equipment Repair Services",Production and supply of electricity and heat,Gas production and supply,Production and supply of water,Architecture,Wholesale and Retail,"Transportation, Warehousing and Post",Accommodation and meals,"Information transmission, software and information technology services",Finance,Real estate,Rental and Business Services,Scientific research and technical services,"Water, Environment and Utilities Management","Residential Services, Repairs and Other Services",Education,Health and Social Work,"Culture, Sports and Recreation","Public Administration, Social Security and Social Organization","Final
consumption",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,-,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,Y,GO,,,
pp,"Agriculture, forestry, animal husbandry and fishery products and services",01,138998154 ,184819 ,1800 ,55455 ,63971 ,425304060 ,92953079 ,13974570 ,27091157 ,19512299 ,25015 ,73329470 ,350207 ,184564 ,225975 ,77722 ,132997 ,42450 ,20624 ,0 ,0 ,2656981 ,57791 ,0 ,86653 ,1908 ,11313 ,18440302 ,265260 ,7259057 ,35674791 ,671942 ,6588 ,158428 ,5339954 ,2123358 ,6784627 ,817750 ,1671285 ,987509 ,368879 ,7874 ,183809012 ,1059729652 ,,,
,,,0.131 ,0.000 ,0.000 ,0.000 ,0.000 ,0.401 ,0.088 ,0.013 ,0.026 ,0.018 ,0.000 ,0.069 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.003 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.017 ,0.000 ,0.007 ,0.034 ,0.001 ,0.000 ,0.000 ,0.005 ,0.002 ,0.006 ,0.001 ,0.002 ,0.001 ,0.000 ,0.000 ,0.173 ,,,,
,Coal mining products,02,35284 ,40522946 ,138605 ,605331 ,513286 ,976713 ,521821 ,183430 ,303017 ,1641321 ,21612272 ,22538397 ,18033546 ,28029237 ,992010 ,453310 ,356381 ,151785 ,120151 ,0 ,0 ,582024 ,266971 ,22923 ,73817087 ,3934202 ,12961 ,441126 ,3863 ,523618 ,22749 ,0 ,0 ,27371 ,11153 ,102024 ,145092 ,112811 ,192474 ,268900 ,43064 ,220915 ,8832203 ,227312372 ,,,
,,,0.0002 ,0.1783 ,0.0006 ,0.0027 ,0.0023 ,0.0043 ,0.0023 ,0.0008 ,0.0013 ,0.0072 ,0.0951 ,0.0992 ,0.0793 ,0.1233 ,0.0044 ,0.0020 ,0.0016 ,0.0007 ,0.0005 ,0.0000 ,0.0000 ,0.0026 ,0.0012 ,0.0001 ,0.3247 ,0.0173 ,0.0001 ,0.0019 ,0.0000 ,0.0023 ,0.0001 ,0.0000 ,0.0000 ,0.0001 ,0.0000 ,0.0004 ,0.0006 ,0.0005 ,0.0008 ,0.0012 ,0.0002 ,0.0010 ,0.0389 ,,,,
,Oil and Gas Extraction Products,03,0.00 ,26130 ,272313 ,50057 ,41787 ,0 ,0 ,0 ,0 ,0 ,149571094 ,6608313 ,285979 ,235099 ,108565 ,61221 ,49349 ,56296 ,0 ,0 ,0 ,0 ,0 ,0 ,2683057 ,16967872 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-92581206 ,84435925 ,,,
,,,0.0000 ,0.0003 ,0.0032 ,0.0006 ,0.0005 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.7714 ,0.0783 ,0.0034 ,0.0028 ,0.0013 ,0.0007 ,0.0006 ,0.0007 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0318 ,0.2010 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,-1.0965 ,,,,
,Metal ore mining products,04,0 ,136148 ,29 ,18672100 ,279333 ,0 ,0 ,0 ,0 ,0 ,133118 ,5763994 ,3082707 ,170460475 ,2501445 ,220695 ,80303 ,34888 ,656046 ,0 ,0 ,11791 ,171038 ,8799 ,420 ,199202 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,50985 ,0 ,0 ,0 ,0 ,0 ,0 ,-63859898 ,138603618 ,,,
